"margin" "qseqid" "sseqid" "staxid" "pident" "score" "qcovs" "kingdom" "phylum" "class" "order" "family" "genus" "species" "species_score" "genus_score" "family_score" "order_score" "class_score" "phylum_score" "kingdom_score" "alternatives" "pident.max.best" "possible.misid" "ssciname" "score.id" "seqNoID"
"seq10325" "upper" "seq10325" "FBAQU222N09" "1587224" "100.000" "3.309576e+01" "100" "Metazoa" "Arthropoda" "Insecta" "Coleoptera" "Scirtidae" "Contacyphon" "Contacyphon ruficeps" " 66.19152" "100.00000" "100" "100" "100" "100" "100" "Contacyphon coarctatus, 100.000, Contacyphon ruficeps, 100.000, Contacyphon coarctatus,  99.539, Contacyphon coarctatus,  98.618" "100.000" "0" "Contacyphon coarctatus" "Contacyphon" "seq10325"
"seq1033" "upper" "seq1033" "GMACB1916N15" "  83137" " 91.244" "9.947408e-04" "100" "Metazoa" "Arthropoda" "Arachnida" "Sarcoptiformes" NA NA "Sarcoptiformes" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Sarcoptiformes, 92.627, Sarcoptiformes, 91.244" " 92.627" "1" "Sarcoptiformes" NA "seq1033"
"seq103349" "upper" "seq103349" "GBIOA596N21" "   6658" " 98.618" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Branchiopoda" NA NA NA "Branchiopoda" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Branchiopoda, 98.618" " 98.618" "1" "Branchiopoda" "Branchiopoda" "seq103349"
"seq10338" "upper" "seq10338" "INRMA4709N21" "   7458" " 90.783" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Insecta" "Hymenoptera" "Apidae" NA "Apidae" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Apidae, 90.783" " 90.783" "1" "Apidae" NA "seq10338"
"seq10365" "upper" "seq10365" "TRIPO097N17" "1202106" " 98.157" "1.154491e-02" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Polypedilum" "Polypedilum nubeculosum" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Polypedilum nubeculosum, 99.078, Polypedilum nubeculosum, 98.157" " 99.078" "0" "Polypedilum nubeculosum" "Polypedilum nubeculosum" "seq10365"
"seq1038" "upper" "seq1038" "KUGA148N21" "  50515" " 93.088" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Insecta" "Coleoptera" "Dytiscidae" NA "Dytiscidae" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Dytiscidae, 93.088" " 93.088" "1" "Dytiscidae" NA "seq1038"
"seq10390" "upper" "seq10390" "GBAN15039N19" " 883178" "100.000" "9.090909e+00" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" "Psammoryctides" "Psammoryctides barbatus" " 72.72727" " 72.72727" "100" "100" "100" "100" "100" "Psammoryctides barbatus, 100, Naididae, 100" "100.000" "0" "Naididae" "Naididae" "seq10390"
"seq10396" "upper" "seq10396" "GBSP4090N12" " 525906" " 99.545" "1.641428e-01" "100" "Metazoa" "Rotifera" "Eurotatoria" "Ploima" "Synchaetidae" "Synchaeta" "Synchaeta pectinata" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Synchaeta pectinata, 100.000, Synchaeta pectinata,  99.545, Synchaeta pectinata,  99.091" "100.000" "1" "Synchaeta pectinata" "Synchaeta pectinata" "seq10396"
"seq10417" "upper" "seq10417" "KUGA148N21" "  50515" " 93.088" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Insecta" "Coleoptera" "Dytiscidae" NA "Dytiscidae" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Dytiscidae, 93.088" " 93.088" "1" "Dytiscidae" NA "seq10417"
"seq10438" "upper" "seq10438" "GMACB1916N15" "  83137" " 93.088" "2.104630e+00" "100" "Metazoa" "Arthropoda" "Arachnida" "Sarcoptiformes" NA NA "Sarcoptiformes" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Sarcoptiformes, 93.548, Sarcoptiformes, 93.088" " 93.548" "1" "Sarcoptiformes" NA "seq10438"
"seq10448" "upper" "seq10448" "INRMA4709N21" "   7458" " 98.618" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Insecta" "Hymenoptera" "Apidae" NA "Apidae" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Apidae, 98.618" " 98.618" "1" "Apidae" "Apidae" "seq10448"
"seq10459" "upper" "seq10459" "GAHAP835N13" "   6386" "100.000" "1.000000e+02" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" "Tubifex" "Tubifex tubifex" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Tubifex tubifex, 100" "100.000" "1" "Tubifex tubifex" "Tubifex tubifex" "seq10459"
"seq10474" "upper" "seq10474" "GBMNB56457N20" " 288906" " 99.539" "3.333333e+01" "100" "Metazoa" "Arthropoda" "Ostracoda" "Podocopida" "Candonidae" "Candona" "Candona" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Candona, 99.539" " 99.539" "0" "Candona" "Candona" "seq10474"
"seq10477" "upper" "seq10477" "GBIOC2634N21" "   6658" " 98.507" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Branchiopoda" NA NA NA "Branchiopoda" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Branchiopoda, 98.507" " 98.507" "1" "Branchiopoda" "Branchiopoda" "seq10477"
"seq10504" "upper" "seq10504" "GMBUB598N14" " 315524" " 99.078" "2.409381e+01" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Micropsectra" "Micropsectra atrofasciata" " 75.90619" " 75.90619" "100" "100" "100" "100" "100" "Chironomidae, 99.078, Micropsectra atrofasciata, 99.078, Micropsectra atrofasciata, 98.618, Micropsectra atrofasciata, 97.273" " 99.078" "1" "Chironomidae" "Chironomidae" "seq10504"
"seq105185" "upper" "seq105185" "GAHAP3328N15" "   6386" " 99.180" "1.250000e+01" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" "Tubifex" "Tubifex tubifex" " 75.00000" " 87.50000" "100" "100" "100" "100" "100" "Tubifex, 99.18, Tubifex tubifex, 99.18, Naididae, 99.18" " 99.180" "0" "Naididae" "Naididae" "seq105185"
"seq10553" "upper" "seq10553" "GBMIN1808N12" "  74730" "100.000" "2.500000e+01" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" "Nais" "Nais" " 50.00000" "100.00000" "100" "100" "100" "100" "100" "Nais, 100, Nais communis, 100" "100.000" "1" "Nais" "Nais" "seq10553"
"seq10559" "upper" "seq10559" "DRYAS18715N15" " 302184" "100.000" "4.481512e+00" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Cricotopus" "Cricotopus bicinctus" " 95.51849" "100.00000" "100" "100" "100" "100" "100" "Cricotopus, 100.000, Cricotopus bicinctus, 100.000, Cricotopus bicinctus,  99.539, Cricotopus bicinctus,  99.078, Cricotopus bicinctus,  98.636, Cricotopus bicinctus,  98.618, Chironomidae,  98.157, Cricotopus bicinctus,  98.157" "100.000" "1" "Cricotopus" "Cricotopus" "seq10559"
"seq105609" "upper" "seq105609" "GBCI797N07" "   6088" " 97.235" "5.517817e+00" "100" "Metazoa" "Cnidaria" "Hydrozoa" "Anthoathecata" "Hydridae" "Hydra" "Hydra oligactis" " 66.46613" "100.00000" "100" "100" "100" "100" "100" "Hydra, 97.235, Hydra oligactis, 97.235, Hydra, 96.774, Hydra oligactis, 96.774, Hydra oligactis, 96.313, Hydra oligactis, 95.392, Hydra robusta, 95.392" " 97.235" "0" "Hydra" "Hydra" "seq105609"
"seq10594" "upper" "seq10594" "GBIOC2634N21" "   6658" " 99.078" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Branchiopoda" NA NA NA "Branchiopoda" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Branchiopoda, 99.078" " 99.078" "1" "Branchiopoda" "Branchiopoda" "seq10594"
"seq106" "upper" "seq106" "SMTPR10095N16" "   7149" " 90.323" "4.347826e+00" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" NA "Chironomidae" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Chironomidae, 90.323" " 90.323" "0" "Chironomidae" NA "seq106"
"seq106151" "upper" "seq106151" "GBMIN61479N17" " 421455" " 98.157" "7.062561e-01" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Simuliidae" "Simulium" "Simulium vernum" " 34.28514" "100.00000" "100" "100" "100" "100" "100" "Simulium vernum, 98.618, Simulium cryophilum, 98.618, Simulium naturale, 98.618, Simulium vernum, 98.157, Simulium vernum, 97.696, Simulium, 96.774" " 98.618" "1" "Simulium cryophilum" "Simulium" "seq106151"
"seq10629" "upper" "seq10629" "GBMNA12781N19" "1611831" "100.000" "5.000000e+01" "100" "Metazoa" "Platyhelminthes" "Catenulida" NA "Stenostomidae" "Stenostomum" "Stenostomum sthenum" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Stenostomum sthenum, 100" "100.000" "1" "Stenostomum sthenum" "Stenostomum sthenum" "seq10629"
"seq10671" "upper" "seq10671" "GBA23860N15" " 189839" " 99.078" "8.115013e+00" "100" "Metazoa" "Arthropoda" "Insecta" "Ephemeroptera" "Baetidae" "Baetis" "Baetis rhodani" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Baetis rhodani, 99.078, Baetis rhodani, 98.618, Baetis rhodani, 98.157" " 99.078" "1" "Baetis rhodani" "Baetis rhodani" "seq10671"
"seq106739" "upper" "seq106739" "FINTI887N12" "2881911" " 92.202" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Limoniidae" "Eloeophila" "Eloeophila mundata" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Eloeophila mundata, 92.202" " 92.202" "1" "Eloeophila mundata" "Eloeophila" "seq106739"
"seq106744" "upper" "seq106744" "KR963823" "1278998" " 97.696" "2.140304e-05" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Tanytarsus" "Tanytarsus usmaensis" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Tanytarsus usmaensis, 99.539, Tanytarsus usmaensis, 98.157, Tanytarsus usmaensis, 97.696" " 99.539" "1" "Tanytarsus usmaensis" "Tanytarsus usmaensis" "seq106744"
"seq10690" "upper" "seq10690" "MSSCA1982N16" "  83137" " 92.166" "9.999901e+01" "100" "Metazoa" "Arthropoda" "Arachnida" "Sarcoptiformes" NA NA "Sarcoptiformes" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Sarcoptiformes, 92.166, Sarcoptiformes, 90.783" " 92.166" "1" "Sarcoptiformes" NA "seq10690"
"seq10695" "upper" "seq10695" "GMGMG853N14" " 288845" " 99.078" "2.307977e-02" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Orthocladius" "Orthocladius" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Orthocladius, 100.000, Orthocladius,  99.078, Orthocladius,  98.636, Orthocladius,  98.618" "100.000" "1" "Orthocladius" "Orthocladius" "seq10695"
"seq10700" "upper" "seq10700" "GBMIN1809N12" "  74730" "100.000" "2.500000e+01" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" "Nais" "Nais" " 50.00000" "100.00000" "100" "100" "100" "100" "100" "Nais, 100, Nais communis, 100" "100.000" "1" "Nais" "Nais" "seq10700"
"seq10704" "upper" "seq10704" "GMBMN319N17" "1202106" " 98.157" "1.154491e-02" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Polypedilum" "Polypedilum nubeculosum" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Polypedilum nubeculosum, 99.078, Polypedilum nubeculosum, 98.157" " 99.078" "0" "Polypedilum nubeculosum" "Polypedilum nubeculosum" "seq10704"
"seq1072" "upper" "seq1072" "GBMNB50760N20" " 669471" " 98.618" "9.934997e-01" "100" "Metazoa" "Arthropoda" "Hexanauplia" "Cyclopoida" "Cyclopidae" "Mesocyclops" "Mesocyclops leuckarti" " 98.01300" " 98.01300" "100" "100" "100" "100" "100" "Mesocyclops leuckarti, 99.083, Mesocyclops leuckarti, 98.624, Mesocyclops leuckarti, 98.618, Thermocyclops crassus, 98.618" " 99.083" "0" "Mesocyclops leuckarti" "Cyclopidae" "seq1072"
"seq107348" "upper" "seq107348" "NORCO306N15" "1410395" " 99.187" "4.946933e+01" "100" "Metazoa" "Arthropoda" "Collembola" "Entomobryomorpha" "Isotomidae" "Isotomurus" "Isotomurus plumosus" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Isotomurus plumosus, 99.187, Isotomurus plumosus, 98.374" " 99.187" "0" "Isotomurus plumosus" "Isotomurus plumosus" "seq107348"
"seq10738" "upper" "seq10738" "GASBB379N18" " 167835" "100.000" "4.946882e+01" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" "Spirosperma" "Spirosperma ferox" " 50.53118" " 50.53118" "100" "100" "100" "100" "100" "Spirosperma ferox, 100.000, Naididae, 100.000, Spirosperma ferox,  99.539" "100.000" "0" "Naididae" "Naididae" "seq10738"
"seq107400" "upper" "seq107400" "FINTI189N11" "1822578" " 93.548" "2.103379e+00" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Limoniidae" "Eloeophila" "Eloeophila maculata" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Eloeophila maculata, 94.009, Eloeophila maculata, 93.548" " 94.009" "1" "Eloeophila maculata" "Eloeophila" "seq107400"
"seq107409" "upper" "seq107409" "GBSP8346N13" " 231624" " 90.909" "1.120407e-04" "100" "Metazoa" "Rotifera" "Eurotatoria" NA NA "Rotaria" "Rotaria rotatoria" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Rotaria rotatoria, 92.273, Rotaria rotatoria, 91.818, Rotaria rotatoria, 90.909, Rotaria rotatoria, 90.455" " 92.273" "0" "Rotaria rotatoria" "Rotaria" "seq107409"
"seq107480" "upper" "seq107480" "JSJUN1041N11" " 879757" " 99.539" "8.464009e-02" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Limnophyes" "Limnophyes natalensis" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Limnophyes natalensis, 100.000, Limnophyes natalensis,  99.539" "100.000" "0" "Limnophyes natalensis" "Limnophyes natalensis" "seq107480"
"seq10808" "upper" "seq10808" "GBAN13851N19" " 380444" "100.000" "1.000000e+02" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" "Epirodrilus" "Epirodrilus pygmaeus" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Epirodrilus pygmaeus, 100" "100.000" "1" "Epirodrilus pygmaeus" "Epirodrilus pygmaeus" "seq10808"
"seq10819" "upper" "seq10819" "GMGMC1484N14" "  54968" " 99.078" "1.042794e+00" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Polypedilum" "Polypedilum" " 98.95721" " 98.95721" "100" "100" "100" "100" "100" "Polypedilum, 99.539, Chironomidae, 99.078, Polypedilum, 99.078" " 99.539" "0" "Polypedilum" "Chironomidae" "seq10819"
"seq108256" "upper" "seq108256" "MIDGE040N06" "2578447" " 98.618" "9.957195e+00" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Brillia" "Brillia bifida" " 80.08561" " 80.08561" "100" "100" "100" "100" "100" "Chironomidae, 98.618, Brillia bifida, 98.618, Brillia bifida, 98.157" " 98.618" "0" "Brillia bifida" "Chironomidae" "seq108256"
"seq10832" "upper" "seq10832" "LEFIJ3563N16" "2881760" " 98.618" "4.624914e-02" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Corynoneura" "Corynoneura coronata" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Corynoneura coronata, 99.539, Corynoneura coronata, 98.618" " 99.539" "1" "Corynoneura coronata" "Corynoneura coronata" "seq10832"
"seq10846" "upper" "seq10846" "MSSCA1982N16" "  83137" " 92.627" "9.999901e+01" "100" "Metazoa" "Arthropoda" "Arachnida" "Sarcoptiformes" NA NA "Sarcoptiformes" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Sarcoptiformes, 92.627, Sarcoptiformes, 91.244" " 92.627" "1" "Sarcoptiformes" NA "seq10846"
"seq10853" "upper" "seq10853" "GBSP3965N12" " 204744" " 99.545" "9.940392e+01" "100" "Metazoa" "Rotifera" "Eurotatoria" "Ploima" "Synchaetidae" "Synchaeta" "Synchaeta" " 99.40392" "100.00000" "100" "100" "100" "100" "100" "Synchaeta, 99.545, Synchaeta tremula, 98.636" " 99.545" "1" "Synchaeta" "Synchaeta" "seq10853"
"seq1087" "upper" "seq1087" "GAHAP3302N15" " 883178" "100.000" "9.090908e+00" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" "Psammoryctides" "Psammoryctides barbatus" " 72.72727" " 72.72727" "100" "100" "100" "100" "100" "Psammoryctides barbatus, 100.000, Naididae, 100.000, Psammoryctides barbatus,  98.157, Naididae,  98.157" "100.000" "0" "Naididae" "Naididae" "seq1087"
"seq10894" "upper" "seq10894" "KUGA148N21" "  50515" " 92.627" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Insecta" "Coleoptera" "Dytiscidae" NA "Dytiscidae" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Dytiscidae, 92.627" " 92.627" "1" "Dytiscidae" NA "seq10894"
"seq10897" "upper" "seq10897" "GBMNA12781N19" "1611831" "100.000" "5.000000e+01" "100" "Metazoa" "Platyhelminthes" "Catenulida" NA "Stenostomidae" "Stenostomum" "Stenostomum sthenum" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Stenostomum sthenum, 100" "100.000" "1" "Stenostomum sthenum" "Stenostomum sthenum" "seq10897"
"seq10905" "upper" "seq10905" "KUGL053N21" "   6854" "100.000" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Arachnida" NA NA NA "Arachnida" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Arachnida, 100" "100.000" "1" "Arachnida" "Arachnida" "seq10905"
"seq1092" "upper" "seq1092" "MSSCA1982N16" "  83137" " 92.627" "9.999901e+01" "100" "Metazoa" "Arthropoda" "Arachnida" "Sarcoptiformes" NA NA "Sarcoptiformes" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Sarcoptiformes, 92.627, Sarcoptiformes, 91.244" " 92.627" "1" "Sarcoptiformes" NA "seq1092"
"seq10962" "upper" "seq10962" "GU722847" "   6082" " 99.539" "1.977657e+00" "100" "Metazoa" "Cnidaria" "Hydrozoa" "Anthoathecata" "Hydridae" "Hydra" "Hydra viridissima" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Hydra viridissima, 100.000, Hydra viridissima,  99.539" "100.000" "0" "Hydra viridissima" "Hydra viridissima" "seq10962"
